vid_num,awgn,filter_str,br,psnr
videoSRC01_1280x720_30.yuv,20,0,0,20.57696970176638
videoSRC01_1280x720_30.yuv,25,0,0,25.200394327016863
videoSRC01_1280x720_30.yuv,30,0,0,30.018723559591578
videoSRC01_1280x720_30.yuv,35,0,0,34.983634501602786
videoSRC01_1280x720_30.yuv,40,0,0,39.94458445562092
videoSRC02_1280x720_30.yuv,20,0,0,20.18650665070422
videoSRC02_1280x720_30.yuv,25,0,0,25.064599376460812
videoSRC02_1280x720_30.yuv,30,0,0,30.008568421589768
videoSRC02_1280x720_30.yuv,35,0,0,34.98406338771112
videoSRC02_1280x720_30.yuv,40,0,0,39.94442675019212
videoSRC03_1280x720_30.yuv,20,0,0,20.397414210465303
videoSRC03_1280x720_30.yuv,25,0,0,25.09558145750351
videoSRC03_1280x720_30.yuv,30,0,0,30.007431646475684
videoSRC03_1280x720_30.yuv,35,0,0,34.983430614087965
videoSRC03_1280x720_30.yuv,40,0,0,39.94338619134298
videoSRC04_1280x720_30.yuv,20,0,0,20.187492109715688
videoSRC04_1280x720_30.yuv,25,0,0,25.05921999623214
videoSRC04_1280x720_30.yuv,30,0,0,30.009177005570074
videoSRC04_1280x720_30.yuv,35,0,0,34.98422891695796
videoSRC04_1280x720_30.yuv,40,0,0,39.94649910087246
videoSRC05_1280x720_25.yuv,20,0,0,20.03548315762013
videoSRC05_1280x720_25.yuv,25,0,0,25.005807143123516
videoSRC05_1280x720_25.yuv,30,0,0,29.99504910233007
videoSRC05_1280x720_25.yuv,35,0,0,34.98223135774647
videoSRC05_1280x720_25.yuv,40,0,0,39.94395271549331
videoSRC06_1280x720_25.yuv,20,0,0,20.1766768556135
videoSRC06_1280x720_25.yuv,25,0,0,25.011583313914016
videoSRC06_1280x720_25.yuv,30,0,0,29.994477636667227
videoSRC06_1280x720_25.yuv,35,0,0,34.982318437373394
videoSRC06_1280x720_25.yuv,40,0,0,39.94489163385473
videoSRC07_1280x720_25.yuv,20,0,0,20.116121335888582
videoSRC07_1280x720_25.yuv,25,0,0,25.010436393904374
videoSRC07_1280x720_25.yuv,30,0,0,29.99419481257563
videoSRC07_1280x720_25.yuv,35,0,0,34.98151154381358
videoSRC07_1280x720_25.yuv,40,0,0,39.94410903671928
videoSRC08_1280x720_25.yuv,20,0,0,20.983959175752926
videoSRC08_1280x720_25.yuv,25,0,0,25.28593196348595
videoSRC08_1280x720_25.yuv,30,0,0,30.007025105332918
videoSRC08_1280x720_25.yuv,35,0,0,34.98268972179899
videoSRC08_1280x720_25.yuv,40,0,0,39.944652751390066
videoSRC09_1280x720_25.yuv,20,0,0,20.146147595596204
videoSRC09_1280x720_25.yuv,25,0,0,25.045461537273333
videoSRC09_1280x720_25.yuv,30,0,0,30.020713078867004
videoSRC09_1280x720_25.yuv,35,0,0,35.002435105108546
videoSRC09_1280x720_25.yuv,40,0,0,39.96103819154732
videoSRC10_1280x720_30.yuv,20,0,0,20.210505706816438
videoSRC10_1280x720_30.yuv,25,0,0,25.070275936912108
videoSRC10_1280x720_30.yuv,30,0,0,30.009704035637025
videoSRC10_1280x720_30.yuv,35,0,0,34.98500842219476
videoSRC10_1280x720_30.yuv,40,0,0,39.945735060198864
videoSRC11_1280x720_30.yuv,20,0,0,20.312578927870664
videoSRC11_1280x720_30.yuv,25,0,0,25.108243628523446
videoSRC11_1280x720_30.yuv,30,0,0,30.011854261663494
videoSRC11_1280x720_30.yuv,35,0,0,34.982791208302
videoSRC11_1280x720_30.yuv,40,0,0,39.944912256939965
videoSRC12_1280x720_30.yuv,20,0,0,20.410858021724636
videoSRC12_1280x720_30.yuv,25,0,0,25.16398069210526
videoSRC12_1280x720_30.yuv,30,0,0,30.02306347257008
videoSRC12_1280x720_30.yuv,35,0,0,34.984602168321935
videoSRC12_1280x720_30.yuv,40,0,0,39.94443294997213
videoSRC13_1280x720_30.yuv,20,0,0,20.14742469957679
videoSRC13_1280x720_30.yuv,25,0,0,25.079684001758807
videoSRC13_1280x720_30.yuv,30,0,0,30.03554624134286
videoSRC13_1280x720_30.yuv,35,0,0,35.00469501796995
videoSRC13_1280x720_30.yuv,40,0,0,39.958130326611254
videoSRC14_1280x720_30.yuv,20,0,0,20.332150564213833
videoSRC14_1280x720_30.yuv,25,0,0,25.102174800936098
videoSRC14_1280x720_30.yuv,30,0,0,30.00942572992414
videoSRC14_1280x720_30.yuv,35,0,0,34.984232318908674
videoSRC14_1280x720_30.yuv,40,0,0,39.94514502783019
videoSRC15_1280x720_30.yuv,20,0,0,20.428630397106446
videoSRC15_1280x720_30.yuv,25,0,0,25.139306242083467
videoSRC15_1280x720_30.yuv,30,0,0,30.016103802591115
videoSRC15_1280x720_30.yuv,35,0,0,34.98283043307815
videoSRC15_1280x720_30.yuv,40,0,0,39.94376831488939
videoSRC16_1280x720_30.yuv,20,0,0,20.83591523695161
videoSRC16_1280x720_30.yuv,25,0,0,25.24824369672618
videoSRC16_1280x720_30.yuv,30,0,0,30.02092081593532
videoSRC16_1280x720_30.yuv,35,0,0,34.982447660780814
videoSRC16_1280x720_30.yuv,40,0,0,39.94492667637615
videoSRC17_1280x720_24.yuv,20,0,0,20.191187300836003
videoSRC17_1280x720_24.yuv,25,0,0,25.014300231559176
videoSRC17_1280x720_24.yuv,30,0,0,29.9938932082001
videoSRC17_1280x720_24.yuv,35,0,0,34.9815182513379
videoSRC17_1280x720_24.yuv,40,0,0,39.94351773018799
videoSRC18_1280x720_25.yuv,20,0,0,20.10492845820674
videoSRC18_1280x720_25.yuv,25,0,0,25.00852902206467
videoSRC18_1280x720_25.yuv,30,0,0,29.994745323017053
videoSRC18_1280x720_25.yuv,35,0,0,34.983222909547706
videoSRC18_1280x720_25.yuv,40,0,0,39.94463735305025
videoSRC19_1280x720_30.yuv,20,0,0,20.237831119491105
videoSRC19_1280x720_30.yuv,25,0,0,25.072199920086113
videoSRC19_1280x720_30.yuv,30,0,0,30.007567706754397
videoSRC19_1280x720_30.yuv,35,0,0,34.98434565597818
videoSRC19_1280x720_30.yuv,40,0,0,39.945662593672814
videoSRC20_1280x720_25.yuv,20,0,0,20.019148978510156
videoSRC20_1280x720_25.yuv,25,0,0,25.000851623181426
videoSRC20_1280x720_25.yuv,30,0,0,29.993532125381705
videoSRC20_1280x720_25.yuv,35,0,0,34.9824620163937
videoSRC20_1280x720_25.yuv,40,0,0,39.944966484874556
videoSRC21_1280x720_24.yuv,20,0,0,20.660963254029493
videoSRC21_1280x720_24.yuv,25,0,0,25.113824521019065
videoSRC21_1280x720_24.yuv,30,0,0,29.996711186875093
videoSRC21_1280x720_24.yuv,35,0,0,34.98276042502888
videoSRC21_1280x720_24.yuv,40,0,0,39.944917345934215
videoSRC22_1280x720_24.yuv,20,0,0,20.176796516945522
videoSRC22_1280x720_24.yuv,25,0,0,25.012159378848324
videoSRC22_1280x720_24.yuv,30,0,0,29.99569213843132
videoSRC22_1280x720_24.yuv,35,0,0,34.98187522159578
videoSRC22_1280x720_24.yuv,40,0,0,39.9449340182556
videoSRC23_1280x720_24.yuv,20,0,0,20.124606357833315
videoSRC23_1280x720_24.yuv,25,0,0,25.007548116420363
videoSRC23_1280x720_24.yuv,30,0,0,29.994078757136023
videoSRC23_1280x720_24.yuv,35,0,0,34.982415217592
videoSRC23_1280x720_24.yuv,40,0,0,39.944369859798684
videoSRC24_1280x720_24.yuv,20,0,0,20.890059374003542
videoSRC24_1280x720_24.yuv,25,0,0,25.37783535081537
videoSRC24_1280x720_24.yuv,30,0,0,30.054070975606386
videoSRC24_1280x720_24.yuv,35,0,0,34.98203826887333
videoSRC24_1280x720_24.yuv,40,0,0,39.945739379359715
videoSRC25_1280x720_24.yuv,20,0,0,20.501133946504527
videoSRC25_1280x720_24.yuv,25,0,0,25.245460563859233
videoSRC25_1280x720_24.yuv,30,0,0,30.04098129731094
videoSRC25_1280x720_24.yuv,35,0,0,34.982757658692904
videoSRC25_1280x720_24.yuv,40,0,0,39.94355908483721
videoSRC26_1280x720_30.yuv,20,0,0,20.245024623892263
videoSRC26_1280x720_30.yuv,25,0,0,25.090914023210146
videoSRC26_1280x720_30.yuv,30,0,0,30.00980663896328
videoSRC26_1280x720_30.yuv,35,0,0,34.983143339506896
videoSRC26_1280x720_30.yuv,40,0,0,39.94490645443996
videoSRC27_1280x720_30.yuv,20,0,0,20.158324503732608
videoSRC27_1280x720_30.yuv,25,0,0,25.06275406456583
videoSRC27_1280x720_30.yuv,30,0,0,30.007708636070035
videoSRC27_1280x720_30.yuv,35,0,0,34.98381725668633
videoSRC27_1280x720_30.yuv,40,0,0,39.94495763329717
videoSRC28_1280x720_30.yuv,20,0,0,21.19233744592296
videoSRC28_1280x720_30.yuv,25,0,0,25.42896118072311
videoSRC28_1280x720_30.yuv,30,0,0,30.035190824695675
videoSRC28_1280x720_30.yuv,35,0,0,34.98304276316868
videoSRC28_1280x720_30.yuv,40,0,0,39.94490324949738
videoSRC29_1280x720_24.yuv,20,0,0,20.97077587659758
videoSRC29_1280x720_24.yuv,25,0,0,25.240215281984366
videoSRC29_1280x720_24.yuv,30,0,0,30.0095520352327
videoSRC29_1280x720_24.yuv,35,0,0,34.9824277902905
videoSRC29_1280x720_24.yuv,40,0,0,39.944393490106634
videoSRC30_1280x720_30.yuv,20,0,0,20.0396710579191
videoSRC30_1280x720_30.yuv,25,0,0,24.999924360500337
videoSRC30_1280x720_30.yuv,30,0,0,29.993448766642373
videoSRC30_1280x720_30.yuv,35,0,0,34.98213234210671
videoSRC30_1280x720_30.yuv,40,0,0,39.94511291381657
